scan_ts_kst,date,ticker,name,market,sector,bar_date,close,volume,avg_vol20,atr14,market_cap,tech,macro,filing,value,total,consensus,signal,ev,target,hitl,source,asset_type,flow,regime
2026-08-21T07:32:10.698541+09:00,2026-08-21,MANH,"Manhattan Associates, Inc.",US,IT,2026-08-20,211.21,1221447,1066997.35,7.4218,12314593280,85,60,50,35,66,2,WATCH,0.94,11,False,live,,93,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,BMNR,"Bitmine Immersion Technologies, Inc.",US,금융,2026-08-20,21.57,64640560,33925688.0,1.0389,13011592192,66,60,63,42,64,1,HOLD,0.7,8,False,live,,84,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,HUBS,"HubSpot, Inc.",US,IT,2026-08-20,239.86,993862,2261853.1,19.7638,11960906752,81,60,50,59,68,2,WATCH,0.92,11,False,live,,87,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,NVMI,Nova Ltd.,US,반도체,2026-08-20,383.87,389566,572403.3,19.6436,12209430528,40,65,40,42,38,0,AVOID,-0.64,-8,True,live,,26,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,SNN,Smith & Nephew plc,US,제약/바이오,2026-08-20,29.04,1239857,1567422.85,0.7221,12153424896,35,65,60,58,49,0,HOLD,-0.18,-2,False,live,,46,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,CHYM,"Chime Financial, Inc. Class A Common Sto",US,IT,2026-08-20,31.95,6632823,9778536.15,1.9035,12095795200,80,60,40,62,67,2,WATCH,0.86,10,False,live,,93,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,GNRC,Generac Holdings Inc.,US,산업재,2026-08-20,206.75,745767,1222163.35,9.625,12199415808,47,60,40,58,43,0,AVOID,-0.49,-6,True,live,,26,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,ERIE,Erie Indemnity Company,US,금융,2026-08-20,262.29,195734,266341.7,9.8164,13715109888,84,60,72,58,76,3,BUY,1.19,14,False,live,,87,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,SF,Stifel Financial Corp,US,금융,2026-08-20,79.88,1129079,1035193.95,1.6779,12062017536,47,60,52,68,57,0,HOLD,0.32,4,False,live,,69,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,UDR,"UDR, Inc.",US,리츠,2026-08-20,37.69,2052282,3489854.1,0.6407,13964734464,28,60,60,53,44,0,AVOID,-0.28,-3,True,live,,35,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,DECK,Deckers Outdoor Corporation,US,소비재,2026-08-20,88.86,2514088,2419969.4,2.8257,12101120000,28,60,63,68,45,0,HOLD,-0.5,-6,False,live,,20,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,MICC,The Magnum Ice Cream Company N.V.,US,소매,2026-08-20,19.74,831031,793841.55,0.4488,12087348224,88,60,63,50,65,1,HOLD,0.86,10,False,live,,49,NEUTRAL
